Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,cleaned_text
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt woman shouldnt complain cleaning house amp man always take trash
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt boy dat coldtyga dwn bad cuffin dat hoe st place
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt dawg rt ever fuck bitch start cry confused shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt look like tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt shit hear might true might faker bitch told ya
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow meclaim faithful somebody still fucking hoe
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate another bitch got much shit going
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause im tired big bitch coming u skinny girl
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp might get ya bitch back amp thats
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobby include fighting mariam bitch
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walked conversation like smh
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing like
14,3,1,2,0,1,""" bitch get up off me """,bitch get
15,3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
16,3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
17,3,1,2,0,1,""" bitch who do you love """,bitch love
18,3,0,3,0,1,""" bitches get cut off everyday B """,bitch get cut everyday b
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,broke bitch cant tell nothing
21,3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
22,3,0,3,0,1,""" cant you see these hoes wont change """,cant see hoe wont change
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick kermit video bout fuck ig
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing hardwood floor
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door
26,3,0,3,0,1,""" hoe what its hitting for """,hoe hitting
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitch would get excited
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,youre toe aint done pussy stink
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitch wrap angry bird there app
35,3,0,3,0,1,""" is that ya bitch """,ya bitch
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,aint nothing cut bitch
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane as bitch
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lame cry hoe thats tear clown
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like snoop said dont love hoe
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma said pussy cat inside doghouse
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hated hoe favorite
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy get like
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,running round like brand new pussy thats bout get fucked
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,bitch even worst theyll send guy
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,dont trust nigga bitch
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga b cuffing hoe cause yall aint never bitch
52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet da bitch cut pregnant bound thank god
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music
54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probably cleaner twitter hoe
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay nigga couldnt wait act like bitch tonight
56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",ima steal cat n replace pitbull rt bitch
57,3,0,3,0,1,"""&amp; he's gone always be a hoe""",amp he gone always hoe
